app_name,review_date,rating,cleaned_content,review_length,flag_safety,flag_subscription
Tinder,1970-01-01 00:29:25.185586,1,sta reci usd nedeljno je bruka sramota cak ni nije problem jer naci srodnu dusu nema cenu ali aplikacija koristi cudne algoritme ne pokazuje nekog ko ti je blizu kome se svidjas dok ne platis,35,0,0
Tinder,1970-01-01 00:29:25.184703,1,feel like app pointless wants money doesnt help actually find anybody wont spend money shows two people im obviously hides rest likes supposed dating app monthly subscription,27,0,1
Tinder,1970-01-01 00:29:25.184668,4,good,1,0,0
Tinder,1970-01-01 00:29:25.184529,5,nice know scram site,4,0,0
Tinder,1970-01-01 00:29:25.183972,5,honesty site,2,0,0
Tinder,1970-01-01 00:29:25.181382,5,worked thank tinder thank much tinder beautiful forever love similar much synchronicity weird explain im happy greatful really made happy felt weak love much first last basically ment forever love extra stars app,33,0,0
Tinder,1970-01-01 00:29:25.180985,1,getting worse day dont even buy subscriptions properly says developer restricts purchase plan user age,15,0,1
Tinder,1970-01-01 00:29:25.177276,1,worst dating app litrelly app charges every thing like someones profile chat someone get likes cant single thing pay,19,0,1
Tinder,1970-01-01 00:29:25.177212,5,good love,2,0,0
Tinder,1970-01-01 00:29:25.176940,1,fake profile fake matches make buy subscription,7,0,1
Tinder,1970-01-01 00:29:25.175454,1,want picture,2,0,0
Tinder,1970-01-01 00:29:25.174463,4,overall good experience appreciate tinders safety measures,7,0,0
Tinder,1970-01-01 00:29:25.174297,1,says free plenty advertising hits hard,6,0,0
Tinder,1970-01-01 00:29:25.173778,1,,0,0,0
Tinder,1970-01-01 00:29:25.173752,5,excellent,1,0,0
Tinder,1970-01-01 00:29:25.173122,1,con signed likes within one hour second subscribed could see likes none never existed get part money full fake profiles fake likes put tinder thats con,26,0,0
Tinder,1970-01-01 00:29:25.172042,5,good,1,0,0
Tinder,1970-01-01 00:29:25.171684,1,money grab app dont download unless want waste month basic version isnt worth even trying,15,0,0
Tinder,1970-01-01 00:29:25.170909,1,app basically people tramp around nobody really decent worth connecting emotionally mature level shows sad world got nothing eles trampy app perfect,22,0,0
Tinder,1970-01-01 00:29:25.170584,1,become subscription,2,0,1
Tinder,1970-01-01 00:29:25.167865,5,good,1,0,0
Tinder,1970-01-01 00:29:25.167596,5,good,1,0,0
Tinder,1970-01-01 00:29:25.167292,1,im tired swiping profiles photos pictures landscapes food delete faceless profiles,11,0,0
Tinder,1970-01-01 00:29:25.162200,5,hopefully enjoy,2,0,0
Tinder,1970-01-01 00:29:25.161989,5,great app,2,0,0
Tinder,1970-01-01 00:29:25.161576,5,miss u,2,0,0
Tinder,1970-01-01 00:29:25.161193,1,good,1,0,0
Tinder,1970-01-01 00:29:25.161034,1,got banned making account didnt even nun wrong,8,0,0
Tinder,1970-01-01 00:29:25.155978,1,someone liked matched writing message unmatched app gut punch makes everything worse whats actually good stay away,17,0,0
Tinder,1970-01-01 00:29:25.154706,1,pay almost everything ive went multiple dating apps one one worser ones shame app widely used trying match someone need money see likes people sent likes cant even see single one,31,0,1
